pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
100,-100,180,bottom,BT1,,,BatteryHolder_Keystone_3034_1x20mm,Battery_Cell,smt
102.4,-92,0,top,C1,,,C_01005_0402Metric_Pad0.57x0.30mm_HandSolder,2.2µF,smt
107.78,-107.78,135,top,D1,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
110.16,-95.79,-157.5,top,D10,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
111,-100,180,top,D11,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
110.16,-104.21,-22.5,top,D12,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
89,-100,0,top,D13,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
92.22,-92.22,135,top,D14,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
89.84,-95.79,157.5,top,D15,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
95.79,-89.84,-67.5,top,D16,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
95.79,-110.16,67.5,top,D2,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
104.21,-110.16,-67.5,top,D3,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
100,-111,-90,top,D4,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
92.22,-107.78,45,top,D5,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
89.84,-104.21,-157.5,top,D6,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
100,-89,-90,top,D7,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
107.78,-92.22,45,top,D8,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
104.21,-89.84,67.5,top,D9,,,LED_01005_0402Metric_Pad0.57x0.30mm_HandSolder,LED,smt
96.1025,-94,180,top,R1,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10KΩ,smt
93.9025,-99.5,0,top,R10,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
93.9025,-98.5,0,top,R11,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
93.9025,-97.5,0,top,R12,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
96.1025,-93,180,top,R2,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10KΩ,smt
96.1025,-95,180,top,R3,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,10KΩ,smt
101,-105,90,top,R4,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
100,-105,90,top,R5,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
99,-105,90,top,R6,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
106.5,-97.5,180,top,R7,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
106.5,-98.5,180,top,R8,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
106.5,-99.5,180,top,R9,,,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120Ω,smt
100,-92,180,top,U2,,,WLP-4_0.86x0.86mm_P0.4mm,MMC5633NJL,smt
100,-100,0,top,U3,,,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,ATmega328P-M,smt
